1.0 2.0 1E10 2.9683034775
1.0 2.0 2E10 2.9729867901
1.0 2.0 5E10 2.9272769758
1.0 2.0 7E10 2.9382053264
1.0 2.0 10E10 2.9439072442
1.0 2.0 20E10 2.8117636458
1.0 2.0 50E10 2.6747540418
1.0 2.0 70E10 2.5546981340
1.0 2.0 100E10 2.4729318262
1.0 2.0 200E10 2.3469612013
1.0 2.0 500E10 2.3351264558
1.0 2.0 700E10 2.3266330738
1.0 5.0 1E10 5.9382115045
1.0 5.0 2E10 5.4928158334
1.0 5.0 5E10 4.8570532606
1.0 5.0 7E10 4.5950014455
1.0 5.0 10E10 4.2688104901
1.0 5.0 20E10 3.6751029173
1.0 5.0 50E10 2.9686594135
1.0 5.0 70E10 2.7773271758
1.0 5.0 100E10 2.5765155275
1.0 5.0 200E10 2.3583757329
1.0 5.0 500E10 2.3433462251
1.0 5.0 700E10 2.3282738656
1.0 7.0 1E10 8.0697636261
1.0 7.0 2E10 7.4037799949
1.0 7.0 5E10 6.0025445781
1.0 7.0 7E10 5.3808887569
1.0 7.0 10E10 4.8098898459
1.0 7.0 20E10 3.8612669834
1.0 7.0 50E10 2.9929291974
1.0 7.0 70E10 2.7844794234
1.0 7.0 100E10 2.5986978572
1.0 7.0 200E10 2.3886337905
1.0 7.0 500E10 2.3057852311
1.0 7.0 700E10 2.3374326185
1.0 10.0 1E10 11.9149536224
1.0 10.0 2E10 10.1035726299
1.0 10.0 5E10 6.8591575822
1.0 10.0 7E10 6.0797598203
1.0 10.0 10E10 5.2595664377
1.0 10.0 20E10 3.9911481464
1.0 10.0 50E10 3.0211637328
1.0 10.0 70E10 2.8339817696
1.0 10.0 100E10 2.5753429861
1.0 10.0 200E10 2.3796226156
1.0 10.0 500E10 2.3274454985
1.0 10.0 700E10 2.2984591190
1.0 20.0 1E10 21.9531637362
1.0 20.0 2E10 15.4172276083
1.0 20.0 5E10 8.5405749616
1.0 20.0 7E10 7.0326923053
1.0 20.0 10E10 5.6917145435
1.0 20.0 20E10 4.1788348505
1.0 20.0 50E10 3.0275131725
1.0 20.0 70E10 2.8291500159
1.0 20.0 100E10 2.5950103195
1.0 20.0 200E10 2.3743283159
1.0 20.0 500E10 2.3351248755
1.0 20.0 700E10 2.3110884223
1.0 50.0 1E10 35.1852030947
1.0 50.0 2E10 19.4931118553
1.0 50.0 5E10 9.4866388881
1.0 50.0 7E10 7.8353295852
1.0 50.0 10E10 6.0965990926
1.0 50.0 20E10 4.2720763186
1.0 50.0 50E10 3.0708390965
1.0 50.0 70E10 2.8271704227
1.0 50.0 100E10 2.6018276727
1.0 50.0 200E10 2.3867905696
1.0 50.0 500E10 2.3368013377
1.0 50.0 700E10 2.3271653180
1.0 70.0 1E10 43.0300926385
1.0 70.0 2E10 22.7190053989
1.0 70.0 5E10 9.9941616687
1.0 70.0 7E10 7.6285055001
1.0 70.0 10E10 6.0411176715
1.0 70.0 20E10 4.2010280062
1.0 70.0 50E10 3.0799882326
1.0 70.0 70E10 2.8217064954
1.0 70.0 100E10 2.6115790939
1.0 70.0 200E10 2.3693384150
1.0 70.0 500E10 2.3276792092
1.0 70.0 700E10 2.3393026565
2.0 5.0 1E10 6.1475230803
2.0 5.0 2E10 6.1912779836
2.0 5.0 5E10 6.0036264645
2.0 5.0 7E10 5.8140129964
2.0 5.0 10E10 5.5018238825
2.0 5.0 20E10 4.9182530607
2.0 5.0 50E10 4.0794718443
2.0 5.0 70E10 3.8764033797
2.0 5.0 100E10 3.6115823786
2.0 5.0 200E10 3.3907088544
2.0 5.0 500E10 3.2926192693
2.0 5.0 700E10 3.3224278343
2.0 7.0 1E10 8.7361240885
2.0 7.0 2E10 8.6589643735
2.0 7.0 5E10 7.6819905299
2.0 7.0 7E10 7.2241756587
2.0 7.0 10E10 6.6232002383
2.0 7.0 20E10 5.5223992901
2.0 7.0 50E10 4.3355004450
2.0 7.0 70E10 3.9674728839
2.0 7.0 100E10 3.6582012253
2.0 7.0 200E10 3.3838900069
2.0 7.0 500E10 3.3031681049
2.0 7.0 700E10 3.3215949754
2.0 10.0 1E10 13.7396266412
2.0 10.0 2E10 11.1544315545
2.0 10.0 5E10 9.3654869906
2.0 10.0 7E10 9.0488286226
2.0 10.0 10E10 7.9939397197
2.0 10.0 20E10 6.2765681165
2.0 10.0 50E10 4.4642786132
2.0 10.0 70E10 4.0579528152
2.0 10.0 100E10 3.6916063125
2.0 10.0 200E10 3.4065413209
2.0 10.0 500E10 3.3040692242
2.0 10.0 700E10 3.3546806408
2.0 20.0 1E10 26.5551806370
2.0 20.0 2E10 20.3577650657
2.0 20.0 5E10 11.9272742234
2.0 20.0 7E10 11.0195659944
2.0 20.0 10E10 9.0298507462
2.0 20.0 20E10 6.6778453381
2.0 20.0 50E10 4.6009489112
2.0 20.0 70E10 4.0820509515
2.0 20.0 100E10 3.7472419837
2.0 20.0 200E10 3.4094743751
2.0 20.0 500E10 3.3349783825
2.0 20.0 700E10 3.3290703300
2.0 50.0 1E10 41.6484385272
2.0 50.0 2E10 27.0022828546
2.0 50.0 5E10 14.0457886424
2.0 50.0 7E10 11.8540241120
2.0 50.0 10E10 9.9579300826
2.0 50.0 20E10 7.0437327878
2.0 50.0 50E10 4.7441277381
2.0 50.0 70E10 4.1535220557
2.0 50.0 100E10 3.7742700401
2.0 50.0 200E10 3.3973208922
2.0 50.0 500E10 3.2979208170
2.0 50.0 700E10 3.3270668473
2.0 70.0 1E10 70.3899578884
2.0 70.0 2E10 28.7779822627
2.0 70.0 5E10 15.2834957820
2.0 70.0 7E10 12.9447750993
2.0 70.0 10E10 10.3025222236
2.0 70.0 20E10 7.1967756805
2.0 70.0 50E10 4.6149464963
2.0 70.0 70E10 4.1151619516
2.0 70.0 100E10 3.7560837076
2.0 70.0 200E10 3.4138263108
2.0 70.0 500E10 3.3011903453
2.0 70.0 700E10 3.2989316715
5.0 7.0 1E10 13.6190649961
5.0 7.0 2E10 14.1794380061
5.0 7.0 5E10 14.8029673738
5.0 7.0 7E10 14.4965500064
5.0 7.0 10E10 14.9248065025
5.0 7.0 20E10 12.4844428480
5.0 7.0 50E10 11.6880030832
5.0 7.0 70E10 11.6656041699
5.0 7.0 100E10 11.2416603889
5.0 7.0 200E10 10.7165111020
5.0 7.0 500E10 10.2404038343
5.0 7.0 700E10 10.7960039425
5.0 10.0 1E10 22.4115910249
5.0 10.0 2E10 24.0951249690
5.0 10.0 5E10 25.1784086409
5.0 10.0 7E10 18.6898624635
5.0 10.0 10E10 15.3129743269
5.0 10.0 20E10 14.9044771380
5.0 10.0 50E10 12.9355966893
5.0 10.0 70E10 12.0256988155
5.0 10.0 100E10 10.7765573625
5.0 10.0 200E10 10.7462843642
5.0 10.0 500E10 10.5681045806
5.0 10.0 700E10 10.2259796851
5.0 20.0 1E10 55.0399008854
5.0 20.0 2E10 27.2113946680
5.0 20.0 5E10 24.4433063363
5.0 20.0 7E10 41.0191773594
5.0 20.0 10E10 20.2212040179
